sub_id_6,sub_id_5,sub_id_3,sub_id_2,campaign,campaign_id,datetime,cost,revenue,profit,clicks,campaign_unique_clicks,conversions,roi_confirmed,lp_clicks,cr,lp_ctr,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,priority,urgent,action_needed,potential_impact
26-07-2025 - DE - Lenor - Reviews 2 - Creative 5,Adset #1,120231900456710596,120231900457100596,Facebook.com - Sweeps - SOI - Lenor - DE - UA78 - BM1 - Acc 1,454,1753612020000,1.442,0.0,-1.44,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9986123449290257,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,144.2
25-07-2025 - DE - Xiaomi - Man - Creative 2,MV25-64 - Adset 5,120232531200490679,120232531200610679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,1753616866000,1.435,0.0,-1.44,1,1,0,-100.0,1,0,100,0.0,0.0,-1.0034836212657692,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,143.5
25-07-2025 - DE - Gillette - Creative 1,MV25-64 - Adset 3,120228985740590368,120228987067960368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753572091000,1.37,0.0,-1.37,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999992700735255,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,137.0
25-07-2025 - DE - Rituals - Creative 2,25-64 - Adset 1,120230831546810045,120230831546370045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753558903000,1.344,0.0,-1.34,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9970230676911699,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,134.4
25-07-2025 - DE - Lenor - Woman - Images - Creative 2,MV25-64 - Adset 1,120231726691570596,120231726691580596,Facebook.com - Sweeps - SOI - Lenor - DE - UA78 - BM1 - Acc 1,454,1753509289000,1.34,0.0,-1.34,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999992537319002,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,134.0
25-07-2025 - DE - Gillette - Creative 3,MV25-64 - Adset 1,120228987231040368,120228987232240368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753583418000,1.3033,0.0,-1.3,1,1,0,-100.0,1,0,100,0.0,0.0,-0.997467200592956,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,130.32999999999998
25-07-2025 - DE - Gillette - Creative 2,MV25-64 - Adset 1,120228987231030368,120228987232230368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753613747000,1.3017,0.0,-1.3,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9986932482958837,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,130.17000000000002
26-07-2025 - DE - Lenor - Reviews 2 - Creative 1,Adset #4,120231898512020596,120231899098940596,Facebook.com - Sweeps - SOI - Lenor - DE - UA78 - BM1 - Acc 1,454,1753603361000,1.29,0.0,-1.29,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999992248068026,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,129.0
25-07-2025 - DE - Rituals - Creative 4,25-64 - Adset 4,120230831546100045,120230831547010045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753490189000,1.29,0.0,-1.29,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999992248068026,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,129.0
23-07-2025 - DE - Xiaomi - Creative 4,Adset #3,120229975174200210,120229975257320210,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA83 - BM1 - Acc 2,430,1753619748000,1.21,0.0,-1.21,1,1,0,-100.0,1,0,100,0.0,0.0,-0.999999173554402,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,121.0
25-07-2025 - DE - Rituals - Creative 1,25-64 - Adset 2,120230831091010045,120230831537320045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753521116000,1.168,0.0,-1.17,1,1,0,-100.0,1,0,100,0.0,0.0,-1.001711471137439,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,116.8
23-07-2025 - DE - Makita - Photo - Creative 1,Adset #5,120227446506250519,120227446537340519,Facebook.com - Sweeps - SOI - Makita - DE - UA83 - BM1 - Acc 1,426,1753519103000,1.15,0.0,-1.15,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999991304355388,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,114.99999999999999
25-07-2025 - US - Aldi - Creative 2,MV25-64 - Adset 2,120229247263580075,120229247264750075,Facebook.com - Sweeps - SOI - Aldi - Tester - US - UA64 - BM1 - Acc 3,391,1753612407000,1.12,0.0,-1.12,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999991071436544,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,112.00000000000001
